Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
FZ034;24/07/2021;2021;330;290;M;Puya;4+;4;Raphael;1125.664;458.922666666667;693.915333333333;889.552;1032.63433333333;;
FZ050;17/06/2021;2021;300;240;NA;Puya;4+;4;Raphael;1054.408;459.522666666667;703.477;864.463666666667;986.903666666667;;
FZ073;27/03/2021;2021;320;279;F;Puya;4;4;Raphael;939.166333333333;390.070333333333;623.364;792.770666666667;939.166333333333;;
FZ085;04/04/2021;2021;310;213;F;Puya;4;4;Raphael;921.844333333333;395.873333333333;603.243666666667;766.775333333333;921.844333333333;;
FZ160;26/03/2021;2021;310;246;F;Puya;4;4;Raphael;925.857666666667;418.757333333333;611.749666666667;792.212333333333;925.857666666667;;
FZ183;17/02/2021;2021;303;245;F;Puya;4;4;Raphael;993.354333333333;429.351;670.101;828.912666666667;993.354333333333;;
FZ212;27/03/2021;2021;320;230;NA;Puya;4;4;Raphael;1079.05233333333;468.154666666667;736.216;922.402333333333;1079.05233333333;;
FZ248;01/07/2021;2021;310;235;F;Puya;4+;4;Raphael;1125.98133333333;375.332;644.761666666667;858.624333333333;1010.48966666667;;
FZ321;29/03/2021;2021;330;293;M;Puya;4;4;Raphael;1048.05966666667;425.110666666667;688.255333333333;903.336333333333;1048.05966666667;;
FZ324;30/03/2021;2021;340;320;M;Puya;4;4;Raphael;941.483333333333;445.067333333333;636.521;792.138333333333;941.483333333333;;
FZ326;31/03/2021;2021;305;246;F;Puya;4;4;Raphael;951.792666666667;376.919666666667;591.538;786.635333333333;951.792666666667;;
FZ337;03/09/2021;2021;330;290;F;Puya;4+;4;Raphael;999.268;445.085333333333;639.475;789.539;901.793333333333;;
FZ401;22/04/2021;2021;350;405;F;Puya;4;4;Raphael;945.278333333333;382.476;625.521666666667;799.032666666667;945.278333333333;;
FZ413;02/09/2021;2021;310;248;M;Puya;4+;4;Raphael;854.718;344.434;535.465666666667;679.108333333333;774.906;;
FZ482;14/08/2021;2021;350;393;F;Puya;4+;4;Raphael;1126.86666666667;481.886666666667;732.557666666667;904.675666666667;1011.75;;
FZ509;11/08/2021;2021;320;253;F;Puya;4+;4;Raphael;1024.76666666667;430.541333333333;649.427666666667;811.796333333333;931.722333333333;;
FZ522;30/08/2021;2021;310;210;M;Puya;4+;4;Raphael;877.03;342.423333333333;556.009666666667;699.082333333333;805.778333333333;;
FZ528;07/09/2021;2021;300;230;F;Puya;4+;4;Raphael;879.245;380.095333333333;573.249;725.518333333333;812.281333333333;;
FZ542;09/09/2021;2021;360;402;F;Puya;4+;4;Raphael;1116.13133333333;475.815333333333;731.171;886.158;1026.64133333333;;
FZ552;08/09/2021;2021;310;243;F;Puya;4+;4;Raphael;928.843333333333;401.073;594.93;745.958;859.267333333333;;
FZ003;28/05/2021;2021;320;260;F;Rives;4;4;Raphael;1129.87433333333;495.324333333333;769.180333333333;954.425666666667;1129.87433333333;;
FZ009;25/06/2021;2021;340;280;F;Rives;4;4;Raphael;920.165;362.525;552.229666666667;714.226;846.477666666667;;
FZ013;17/07/2021;2021;310;240;F;Rives;4;4;Raphael;1177.33266666667;519.789;750.373;935.054666666667;1074.88066666667;;
FZ024;28/05/2021;2021;350;355;F;Rives;4;4;Raphael;1099.07;458.078666666667;708.836333333333;923.156;1099.07;;
FZ025;28/05/2021;2021;330;282;M;Rives;4;4;Raphael;1033.65366666667;435.973666666667;696.600333333333;879.263666666667;1033.65366666667;;
FZ043;26/05/2021;2021;340;280;NA;Rives;4;4;Raphael;1107.235;491.353333333333;755.018333333333;949.083666666667;1107.235;;
FZ078;07/09/2021;2021;300;220;M;Rives;4+;4;Raphael;1051.94366666667;468.706333333333;673.122;836.937;957.235333333333;;
FZ151;12/03/2021;2021;310;211;M;Rives;4;4;Raphael;948.767;403.058;617.432333333333;787.998666666667;948.767;;
FZ202;16/03/2021;2021;330;365;M;Rives;4;4;Raphael;1104.19266666667;467.030666666667;742.777333333333;939.612;1104.19266666667;;
FZ203;18/03/2021;2021;325;275;M;Rives;4;4;Raphael;1168.50333333333;458.1;726.646333333333;972.912;1168.50333333333;;
FZ207;21/03/2021;2021;320;240;M;Rives;4;4;Raphael;1147.33466666667;455.775;753.397333333333;977.599;1147.33466666667;;
FZ343;14/10/2021;2021;340;345;M;Rives;4+;4;Raphael;1123.473;492.248333333333;718.549333333333;880.644333333333;1002.661;;
FZ353;04/04/2021;2021;315;250;F;Rives;4;4;Raphael;1044.21;465.07;694.368333333333;902.158666666667;1044.21;;
FZ356;15/04/2021;2021;340;340;NA;Rives;4;4;Raphael;1082.212;471.087666666667;724.402666666667;920.257333333333;1082.212;;
FZ423;06/09/2021;2021;400;NA;F;Rives;4+;4;Raphael;1226.75466666667;420.654666666667;680.956;918.992;1109.03733333333;;
FZ494;07/06/2021;2021;307;226;M;Rives;4;4;Raphael;908.706333333333;424.242666666667;627.696666666667;760.592333333333;852.775;;
FZ503;18/07/2021;2021;310;230;M;Rives;4;4;Raphael;1131.79933333333;490.085333333333;748.048666666667;926.951666666667;1055.73266666667;;
FZ504;18/07/2021;2021;307;240;M;Rives;4;4;Raphael;1068.265;439.958333333333;675.777333333333;863.073666666667;988.225;;
FZ527;06/09/2021;2021;300;220;M;Rives;4+;4;Raphael;943.381666666667;429.359666666667;608.265333333333;764.735666666667;861.623;;
FZ545;11/09/2021;2021;320;300;M;Rives;4+;4;Raphael;1020.98566666667;429.284;654.75;819.604333333333;926.896333333333;;
