Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
AH734;10/10/2023;2023;360;420;M;Puya;4+;4;Raphael;1580.749;613.695;950.68;1200.428333;1411.797333;;
AH746;06/07/2023;2023;310;280;M;Puya;3+;3;Raphael;1246.975;444.1603333;820.9706667;1059.68;;;
AH747;06/07/2023;2023;330;345;M;Puya;4+;4;Raphael;1573.001;623.601;955.0293333;1204.740667;1410.986;;
AH756;08/05/2023;2023;323;356;M;Puya;4;4;Raphael;1347.786;493.9703333;864.9473333;1111.644333;1347.786;;
AH777;26/05/2023;2023;330;260;F;Puya;5;5;Raphael;1501.64;624.5313333;968.1543333;1174.844333;1347.367;1501.64;
AH778;27/05/2023;2023;330;250;F;Puya;3;3;Raphael;1539.358;788.716;1156.901667;1539.358;;;
AH783;23/09/2023;2023;319;321;F;Puya;4+;4;Raphael;1427.291333;536.5683333;876.7333333;1112.905;1293.07;;
AH801;09/05/2023;2023;315;244;F;Puya;3;3;Raphael;1530.591667;713.8483333;1177.444667;1530.591667;;;
AH804;11/05/2023;2023;310;250;M;Puya;4;4;Raphael;1384.365;564.1816667;859.935;1118.414333;1384.365;;
AH835;20/06/2023;2023;310;255;F;Puya;3+;3;Raphael;1303.549;494.7846667;938.721;1178.358667;;;
AH843;20/07/2023;2023;330;280;F;Puya;5+;5;Raphael;1523.75;523.6476667;837.094;1064.878667;1274.204333;1434.409667;
AH845;22/08/2023;2023;320;310;M;Puya;4+;4;Raphael;1539.36;550.477;937.0143333;1221.407333;1415.916333;;
AH847;02/09/2023;2023;330;260;F;Puya;4+;4;Raphael;1595.715333;626.47;994.1076667;1277.413333;1471.516333;;
AH880;17/06/2023;2023;320;302;F;Puya;3+;3;Raphael;1486.525667;617.304;1014.055333;1376.619333;;;
AH887;22/05/2023;2023;340;326;F;Puya;4;4;Raphael;1644.125;580.0563333;1021.037;1364.495667;1644.125;;
AH894;12/06/2023;2023;325;275;M;Puya;5+;5;Raphael;1378.365333;500.2686667;812.6626667;1025.785333;1195.970333;1303.411667;
AH897;05/10/2023;2023;387;440;M;Puya;6+;6;Raphael;1411.338667;444.179;668.8463333;877.206;1033.503;1201.747;1348.436
FZ690;09/05/2023;2023;315;240;F;Puya;4;4;Raphael;1422.137667;512.8213333;870.1986667;1133.926667;1422.137667;;
FZ787;22/03/2023;2023;340;340;F;Puya;5;5;Raphael;1527.957667;599.963;980.597;1143.968;1339.762333;1527.957667;
FZ917;26/04/2023;2023;370;424;F;Puya;4;4;Raphael;1842.140667;658.2266667;1052.339;1531.191333;1842.140667;1527.957667;
FZ922;21/07/2023;2023;360;380;M;Puya;4+;4;Raphael;1522.307;587.3956667;891.354;1147.109;1346.528;;
FZ925;08/08/2023;2023;300;278;M;Puya;3+;3;Raphael;1451.658;564.1676667;944.0866667;1182.603333;;;
AH509;09/10/2023;2023;300;265;M;Rives;5+;5;Raphael;1367.366333;492.1976667;771.36;987.6043333;1137.065667;1264.454;
AH537;22/03/2023;2023;313;221;F;Rives;4;4;Raphael;1403.936333;579.7916667;952.0473333;1177.645667;;;
AH538;28/03/2023;2023;318;231;F;Rives;4;4;Raphael;1493.925;585.6153333;915.939;1171.680333;1493.925;;
AH540;28/03/2023;2023;347;397;M;Rives;3;3;Raphael;1578.889667;788.9316667;1151.537667;1578.889667;;;
AH573;12/04/2023;2023;332;294;F;Rives;5;5;Raphael;1289.488333;475.1383333;764.0033333;914.394;1115.286667;1289.488333;
AH581;13/02/2023;2023;350;340;F;Rives;3;3;Raphael;1491.056;638.4093333;1053.623667;1491.056;;;
AH582;03/05/2023;2023;310;280;F;Rives;4;4;Raphael;1355.882667;597.532;948.311;1136.563667;1355.882667;;
AH591;15/06/2023;2023;300;290;F;Rives;4+;4;Raphael;1474.151667;578.8033333;915.0483333;1179.184333;1388.404;;
AH593;15/06/2023;2023;340;380;F;Rives;4+;4;Raphael;1437.802667;573.5213333;939.413;1180.98;1354.407;;
AH609;24/05/2023;2023;310;210;M;Rives;;3;Raphael;1319.625667;503.752;850.6113333;1246.232333;;;
AH616;03/06/2023;2023;310;220;M;Rives;;5;Raphael;1331.146333;489.235;739.3853333;986.5423333;1134.241667;1272.731667;
AH619;05/06/2023;2023;320;220;M;Rives;4+;4;Raphael;1487.832667;589.5786667;981.4343333;1251.593667;;;
AH628;24/05/2023;2023;310;250;M;Rives;;4;Raphael;1620.295667;692.9816667;1053.29;1303.430333;1620.295667;;
AH629;24/05/2023;2023;370;400;M;Rives;;4;Raphael;1426.279333;585.6846667;972.5993333;1224.144667;1426.279333;;
AH634;16/09/2023;2023;310;300;M;Rives;4+;4;Raphael;1332.87;457.5503333;798.7193333;1032.568667;1187.921;;
AH638;10/10/2023;2023;310;310;M;Rives;5+;5;Raphael;1615.711;563.6756667;871.202;1072.019667;1210.260333;1427.465333;
AH659;29/05/2023;2023;320;274;F;Rives;;3;Raphael;1298.948333;484.1733333;794.4506667;1164.324333;;;
AH660;29/05/2023;2023;340;359;F;Rives;;4;Raphael;1532.206;593.9913333;981.0016667;1266.362667;1459.431333;;
AH665;03/08/2023;2023;320;310;F;Rives;4+;4;Raphael;1573.087;565.172;893.9263333;1195.292;1410.358;;
AH669;07/08/2023;2023;320;298;F;Rives;4+;4;Raphael;1535.770667;584.3443333;956.1516667;1207.592667;1420.644667;;
AH670;08/08/2023;2023;350;362;F;Rives;4+;4;Raphael;1635.594;685.9656667;999.4876667;1220.281667;1432.362667;;
AH671;31/01/2023;2023;310;270;F;Rives;4;4;Raphael;1509.085333;630.823;994.3456667;1273.955333;;;
AH674;27/05/2023;2023;370;435;F;Rives;;4;Raphael;1646.344;654.2133333;1004.939;1309.997;1554.951;;
AH676;01/06/2023;2023;300;250;F;Rives;;3;Raphael;1337.772;549.9563333;1009.135;1258.433667;;;
AH682;06/06/2023;2023;330;330;F;Rives;;3;Raphael;1327.859333;521.721;816.2593333;1199.158667;;;
AH685;06/06/2023;2023;310;260;M;Rives;;4;Raphael;1358.629;561.2706667;908.8746667;1111.646667;1280.087667;;
AH687;06/06/2023;2023;300;230;F;Rives;;3;Raphael;1307.648667;502.975;802.8773333;1197.496333;;;
AH695;11/07/2023;2023;330;340;M;Rives;3+;3;Raphael;1429.583;510.294;1002.616;1329.419;;;
AH708;20/05/2023;2023;315;256;M;Rives;;3;Raphael;1545.284;626.8363333;1133.992667;1545.284;;;
AH718;06/06/2023;2023;310;290;M;Rives;;3;Raphael;1480.711667;600.972;1069.346;1309.12;;;
AH753;10/04/2023;2023;320;293;M;Rives;4;4;Raphael;1589.635667;623.8603333;1054.816667;1326.744;1589.635667;;
