Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
FZ786;16/10/2022;2022;310;260;F;Rives;3+;3;Valerie;1018.832333;339.2066667;663.4853333;893.5846667;;;
FZ886;16/10/2022;2022;305;260;M;Rives;3+;3;Valerie;870.1093333;280.103;553.6106667;761.964;;;
FZ887;16/10/2022;2022;320;285;F;Rives;3+;3;Valerie;1200.769;385.448;761.2863333;1065.403;;;
FZ888;16/10/2022;2022;320;310;M;Puya;4+;4;Valerie;1035.677333;277.95;550.4526667;781.944;951.7026667;;
FZ889;16/10/2022;2022;315;305;F;Rives;4+;4;Valerie;1072.131;318.0366667;585.496;808.7883333;982.3446667;;
FZ885;14/10/2022;2022;315;300;F;Rives;3+;3;Valerie;1017.838333;352.8776667;643.5873333;898.9316667;;;
FZ855;11/10/2022;2022;300;252;M;Rives;4+;4;Valerie;1006.435;274.0813333;537.9263333;758.9836667;925.982;;
FZ912;10/10/2022;2022;320;348;M;Puya;4+;4;Valerie;960.878;292.408;532.5573333;729.7213333;888.6663333;;
FZ913;10/10/2022;2022;320;280;NA;Puya;3+;3;Valerie;922.1476667;272.32;523.85;776.4333333;;;
FZ934;07/10/2022;2022;305;300;F;Rives;4+;4;Valerie;970.011;275.901;529.2416667;734.235;907.558;;
FZ935;07/10/2022;2022;310;300;F;Rives;3+;3;Valerie;973.7973333;326.556;597.4683333;852.454;;;
FZ728;30/09/2022;2022;320;250;F;Rives;4+;4;Valerie;1020.081667;292.3576667;578.232;784.7703333;943.157;;
FZ608;22/09/2022;2022;300;265;F;Puya;3+;3;Valerie;1122.268333;440.9943333;718.16;999.137;;;
FZ726;21/09/2022;2022;310;280;M;Puya;4+;4;Valerie;1018.970333;339.4343333;580.8803333;776.672;950.4566667;;
FZ586;20/09/2022;2022;310;280;M;Puya;4+;4;Valerie;946.4953333;309.258;513.4446667;713.047;868.9553333;;
FZ398;16/09/2022;2022;320;314;F;Puya;3+;3;Valerie;1038.022333;380.924;712.25;926.549;;;
FZ639;15/09/2022;2022;380;479;F;Rives;4+;5;Valerie;1345.708333;332.4083333;638.221;909.333;1101.778;1272.254667;
FZ848;14/09/2022;2022;300;280;M;Puya;3+;3;Valerie;1119.446333;365.586;712.723;995.062;;;
FZ470;13/09/2022;2022;330;320;F;Rives;4+;4;Valerie;932.5826667;270.3553333;510.2296667;710.0303333;845.481;;
FZ633;13/09/2022;2022;320;274;F;Natural;4+;4;Valerie;1029.444333;304.2266667;554.174;764.185;938.3776667;;
FZ760;12/09/2022;2022;320;280;F;Natural;3+;3;Valerie;1022.924667;378.249;643.5926667;896.5966667;;;
FZ548;10/09/2022;2022;322;314;M;Puya;4+;4;Valerie;985.4746667;332.4136667;544.5933333;743.5313333;904.5023333;;
FZ550;10/09/2022;2022;310;275;F;Rives;3+;3;Valerie;1090.304333;419.053;711.9883333;962.5056667;;;
FZ555;10/09/2022;2022;321;289;M;Rives;4+;4;Valerie;928.3243333;310.8213333;534.3283333;702.2866667;837.264;;
FZ648;09/09/2022;2022;340;400;F;Puya;4+;4;Valerie;1165.659333;326.594;608.6813333;868.5086667;1082.462667;;
FZ646;08/09/2022;2022;330;293;F;Rives;3+;3;Valerie;1055.78;386.8246667;688.9556667;934.492;;;
FZ647;08/09/2022;2022;350;485;F;Natural;4+;4;Valerie;1342.024667;425.7036667;833.3643333;1066.436667;1247.477;;
FZ468;06/09/2022;2022;300;230;M;Rives;4+;4;Valerie;913.2703333;329.2906667;576.3163333;766.2306667;932.4403333;;
FZ469;06/09/2022;2022;310;270;F;Puya;4+;4;Valerie;944.749;279.8936667;516.196;714.2433333;861.8713333;;
FZ735;01/09/2022;2022;310;260;F;Rives;4+;4;Valerie;1063.220333;292.9666667;574.171;800.6763333;972.1843333;;
FZ734;22/08/2022;2022;310;280;F;Rives;3+;3;Valerie;959.5536667;321.6513333;622.1256667;847.23;;;
FZ623;20/08/2022;2022;320;263;F;Puya;3+;3;Valerie;1138.205333;402.6136667;809.0723333;1026.846;;;
FZ713;24/07/2022;2022;310;300;F;Puya;3+;3;Valerie;1075.530667;369.108;733.104;993.0006667;;;
FZ843;19/07/2022;2022;310;280;F;Rives;3+;3;Valerie;1041.849667;345.6766667;683.4436667;925.9166667;;;
FZ880;18/07/2022;2022;340;284;F;Rives;4+;4;Valerie;1137.453;313.6823333;564.2896667;810.4923333;1052.575;;
FZ464;14/07/2022;2022;320;250;M;Puya;4+;4;Valerie;840.834;314.0136667;512.3563333;661.8616667;778.566;;
FZ778;14/07/2022;2022;330;210;M;Rives;4+;4;Valerie;1126.053667;356.7073333;667.899;900.5386667;1051.178667;;
FZ779;14/07/2022;2022;330;240;M;Rives;4+;4;Valerie;967.8573333;289.3503333;549.9113333;749.8223333;898.6126667;;
FZ775;12/07/2022;2022;330;240;M;Natural;4+;4;Valerie;1099.62;325.914;617.7843333;855.787;1038.804667;;
FZ776;12/07/2022;2022;310;220;M;Rives;3+;3;Valerie;1049.345;351.7563333;676.9206667;949.5056667;;;
FZ841;09/07/2022;2022;320;280;M;Rives;3+;3;Valerie;1277.556;409.3506667;826.6936667;1136.962667;;;
FZ882;08/07/2022;2022;325;295;F;Puya;4+;4;Valerie;998.968;256.597;489.0536667;714.6446667;900.1086667;;
FZ881;06/07/2022;2022;330;293;F;Puya;4+;4;Valerie;1015.161;274.7506667;537.219;762.9536667;936.8033333;;
FZ749;03/07/2022;2022;314;280;NA;Puya;3+;3;Valerie;898.861;267.8046667;527.0796667;773.8313333;;;
FZ621;02/07/2022;2022;310;237;F;Rives;4+;4;Valerie;1064.153333;289.3056667;542.5383333;767.7606667;956.0426667;;
FZ460;29/06/2022;2022;300;230;F;Natural;5+;5;Valerie;890.842;297.1766667;486.6166667;669.8533333;774.6706667;860.988;
FZ900;27/06/2022;2022;320;283;F;Puya;4+;4;Valerie;1142.838;300.7253333;621.3833333;879.9746667;1069.596;;
FZ902;27/06/2022;2022;340;335;F;Natural;5+;5;Valerie;1257.552;361.596;665.076;908.924;1097.170667;1214.617;
FZ899;25/06/2022;2022;350;353;F;Natural;5+;5;Valerie;1227.696667;370.2043333;641.182;861.2726667;1031.177333;1165.066667;
FZ785;23/06/2022;2022;310;240;M;Puya;3+;3;Valerie;1077.583333;346.4913333;695.351;976.2496667;;;
FZ893;23/06/2022;2022;330;327;M;Puya;5+;5;Valerie;1151.892667;288.6166667;555.5723333;783.733;949.8046667;1094.811667;
FZ895;23/06/2022;2022;320;254;M;Rives;4+;4;Valerie;1141.242667;318.6983333;618.955;887.9293333;1064.107333;;
FZ898;23/06/2022;2022;310;270;F;Rives;5+;5;Valerie;1000.866;287.5953333;525.6446667;686.3563333;821.0533333;946.5426667;
FZ603;21/06/2022;2022;300;215;M;Puya;4+;4;Valerie;1001.958667;338.9656667;575.292;772.1993333;925.1203333;;
FZ891;21/06/2022;2022;310;276;F;Puya;5+;5;Valerie;1088.472;349.666;590.382;785.675;927.6;1042.936667;
FZ892;21/06/2022;2022;310;260;F;Rives;4+;4;Valerie;1154.214667;331.7693333;651.908;909.2203333;1082.528;;
